,fullname,uni_name,file,is_a_main_job
632,Katarzyna Growiec,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
633,Katarzyna Anna Grunt-Mejer,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
634,Ewa Melania Gruszczyńska,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
636,Eufrozyna Gruszecka,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
654,Tomasz Adam Grzyb,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
694,Anna Maria Hebenstreit-Maruszewska,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
695,Daniela Maria Hekiert,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
699,Anna Maria Hełka,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
742,Irena Iskra-Golec,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
749,Magdalena Zyta Jabłońska,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
752,Marta Jackowska,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
762,Kamila Anna Jankowiak-Siuda,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
774,Maciej Andrzej Januszek,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
777,Ewa Jarczewska-Gerc,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
817,Dorota Juszczyk,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
820,Joanna Kabzińska,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
831,Romana Stefania Kadzikowska-Wrzosek,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
841,Dorota Eugenia Kalka,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
847,Olga Katarzyna Kamińska,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
848,Anna Maria Kamza,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
861,Bartosz Paweł Karcz,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
897,Aneta Kiwnik-Dahm,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
912,Małgorzata Klimka-Kołysko,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
939,Aleksandra Anna Kołodziej,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
971,Monika Kornacka,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
990,Julita Agnieszka Koszur,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
992,Maciej Kościelniak,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,selected,
