,fullname,uni_name,is_a_main_job
876,AGATA KASZUBA,Państwowa Uczelnia Zawodowa im. Ignacego Mościckiego w Ciechanowie,Nie
877,AGATA KASZUBA,,
916,Anna Kluzik,Uniwersytet Medyczny im. Karola Marcinkowskiego w Poznaniu,Nie
950,Tadeusz Kononowicz,Instytut Psychologii Polskiej Akademii Nauk,Nie
974,Tomasz Korulczyk,Katolicki Uniwersytet Lubelski Jana Pawła II w Lublinie,Nie
975,Krzysztof Korzeniowski,Instytut Psychologii Polskiej Akademii Nauk,Nie
976,Krzysztof Korzeniowski,,
998,Katarzyna Kotowska,Karpacka Państwowa Uczelnia w Krośnie,Nie
1013,Joachim Kowalski,Akademia Ekonomiczno-Humanistyczna w Warszawie,Nie dotyczy
1014,Joachim Kowalski,Instytut Psychologii Polskiej Akademii Nauk,Nie
1015,Joachim Kowalski,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,Nie dotyczy
1020,Aneta Monika Kozioł,Katolicki Uniwersytet Lubelski Jana Pawła II w Lublinie,Nie
1026,Anna Kozubińska,Państwowa Wyższa Szkoła Zawodowa w Nowym Sączu,Nie
1027,Anna Kozubińska,,
1082,Klaudiusz Krzysztof Kudła,Uniwersytet Jagielloński w Krakowie,Nie
1084,Daria Kukuła,Uniwersytet Mikołaja Kopernika w Toruniu,Nie dotyczy
1085,Daria Kukuła,Uniwersytet Kazimierza Wielkiego w Bydgoszczy,Nie
1096,Dariusz Stanisław Kuncewicz,Katolicki Uniwersytet Lubelski Jana Pawła II w Lublinie,Nie
1102,Katarzyna Kurczych,Uczelnia Łazarskiego w Warszawie,Nie dotyczy
1103,Katarzyna Kurczych,Instytut Psychiatrii i Neurologii,Nie
1107,Jakub Michał Kuś,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,Nie
1155,Paulina Lewandowska,Uniwersytet Jagielloński w Krakowie,Nie
1158,Weronika Maja Lewandowska,Uniwersytet Warszawski,Nie
1159,Weronika Maja Lewandowska,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,Nie dotyczy
1182,Maria Lis-Turlejska,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,Nie
1183,Maria Lis-Turlejska,,
1189,Robert Henricus Johannes van der Lubbe,Uniwersytet im. Adama Mickiewicza w Poznaniu,Nie
1190,Robert Henricus Johannes van der Lubbe,,
1209,Władysław Łosiak,Uniwersytet Jagielloński w Krakowie,Nie
1210,Władysław Łosiak,,
1217,Karolina Magdalena Łukasik,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,Nie dotyczy
1256,Józef Makselon,Uniwersytet Papieski Jana Pawła II w Krakowie,Nie
1257,Józef Makselon,,
1266,Anna Malinowska-Korczak,Instytut Psychologii Polskiej Akademii Nauk,Nie
1281,Marta Marchlewska,Instytut Psychologii Polskiej Akademii Nauk,Nie
1326,Tadeusz Andrzej Mendel,Instytut Psychiatrii i Neurologii,Nie
1327,Tadeusz Andrzej Mendel,,
1340,Ewa Małgorzata Michałowska,Uniwersytet Kardynała Stefana Wyszyńskiego w Warszawie,Nie dotyczy
1341,Ewa Małgorzata Michałowska,Uniwersytet Warszawski,Nie
1375,Weronika Molińska,Akademia Pedagogiki Specjalnej im. Marii Grzegorzewskiej w Warszawie,Nie dotyczy
1398,Małgorzata Najderska,Uniwersytet Kardynała Stefana Wyszyńskiego w Warszawie,Nie dotyczy
1427,Jan Nikadon,Uniwersytet Mikołaja Kopernika w Toruniu,Nie
1428,Jan Nikadon,,
1449,Iwona Nowakowska,Chrześcijańska Akademia Teologiczna w Warszawie,Nie dotyczy
1450,Iwona Nowakowska,Akademia Pedagogiki Specjalnej im. Marii Grzegorzewskiej w Warszawie,Nie dotyczy
1520,Władysław Jacek Paluchowski,Uniwersytet im. Adama Mickiewicza w Poznaniu,Nie
1521,Władysław Jacek Paluchowski,,
1551,Natalia Anna Pawlaczyk,Uniwersytet Mikołaja Kopernika w Toruniu,Nie
1552,Natalia Anna Pawlaczyk,,
1553,Natalia Anna Pawlaczyk,,
1554,Natalia Anna Pawlaczyk,,
1570,Anna Piekacz,Wyższa Szkoła Bankowa w Poznaniu,Nie dotyczy
1571,Anna Piekacz,Uniwersytet Śląski w Katowicach,Nie
1579,Agnieszka Pigłowska-Juhnke,Uniwersytet Medyczny im. Karola Marcinkowskiego w Poznaniu,Nie
1580,Kamila Pihur,Wyższa Szkoła Handlowa we Wrocławiu,Nie
1581,Kamila Pihur,Akademia Finansów i Biznesu Vistula,Nie dotyczy
1610,Justyna Piwińska,Instytut Psychologii Polskiej Akademii Nauk,Nie
1626,Grzegorz Pochwatko,Instytut Psychologii Polskiej Akademii Nauk,Nie
1631,ARTUR POKROPEK,Instytut Filozofii i Socjologii Polskiej Akademii Nauk,Nie
1632,ARTUR POKROPEK,Instytut Badań Edukacyjnych,Nie
1731,Ewa Katarzyna Ratajczak,Uniwersytet Mikołaja Kopernika w Toruniu,Nie
1745,Stewart Craig Roberts,Uniwersytet Wrocławski,Nie
1757,Katarzyna Rojewska,Uniwersytet Śląski w Katowicach,Nie
1758,Paulina Krystyna Rok-Bujko,Instytut Psychiatrii i Neurologii,Nie
1759,Paulina Krystyna Rok-Bujko,,
1768,Paulina Rosińska,Uniwersytet Kardynała Stefana Wyszyńskiego w Warszawie,Nie
1769,Paulina Rosińska,Uczelnia Łazarskiego w Warszawie,Nie dotyczy
1800,Dorota Katarzyna Rutkowska,Akademia Leona Koźmińskiego w Warszawie,Nie dotyczy
1801,Dorota Katarzyna Rutkowska,Uniwersytet Warszawski,Nie
1818,Justyna Kinga Rynkiewicz,Uniwersytet Marii Curie-Skłodowskiej w Lublinie,Nie
1819,Justyna Kinga Rynkiewicz,,
1820,Ewa Ryn-Wójcik,Akademia Wychowania Fizycznego im. Bronisława Czecha w Krakowie,Nie
1859,Alicja Krystyna Senejko,Uniwersytet Wrocławski,Nie
1860,Alicja Krystyna Senejko,,
1904,Maciej Skorko,Instytut Psychologii Polskiej Akademii Nauk,Nie
1953,Tytus Sosnowski,Uniwersytet Mikołaja Kopernika w Toruniu,Nie
1954,Tytus Sosnowski,,
1991,Radosław Stec,Uniwersytet Medyczny im. Karola Marcinkowskiego w Poznaniu,Nie
1995,Renata Maria Stefańska-Klar,Państwowa Wyższa Szkoła Zawodowa w Raciborzu,Nie
2000,Tomasz Stępień,Instytut Psychiatrii i Neurologii,Nie
2010,Marlena Stradomska,Uniwersytet Marii Curie-Skłodowskiej w Lublinie,Nie
2011,Marlena Stradomska,Uniwersytet Marii Curie-Skłodowskiej w Lublinie,Nie dotyczy
2012,Marlena Stradomska,Wyższa Szkoła Europejska im. Ks. Józefa Tischnera w Krakowie,Nie dotyczy
2019,Rafał Stryjek,Instytut Psychologii Polskiej Akademii Nauk,Nie
2020,Rafał Stryjek,Uczelnia Łazarskiego w Warszawie,Nie dotyczy
2057,Ewa Szczepkowska,Wyższa Szkoła Bezpieczeństwa w Poznaniu,Nie
2058,Ewa Szczepkowska,,
2095,Mikołaj Szulczewski,Uniwersytet Warszawski,Nie dotyczy
2096,Mikołaj Szulczewski,Instytut Psychologii Polskiej Akademii Nauk,Nie
2105,Paulina Janina Szwed,Uniwersytet Jagielloński w Krakowie,Nie
2117,Karol Stanisław Szymczak,Akademia Pedagogiki Specjalnej im. Marii Grzegorzewskiej w Warszawie,Nie dotyczy
2130,Izabela Jolanta Śliwińska,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,Nie
2135,Magdalena Katarzyna Śniegulska,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,Nie
2142,Justyna Świdrak,Instytut Psychologii Polskiej Akademii Nauk,Nie
2153,Ewa Taracha,Instytut Psychiatrii i Neurologii,Nie
2154,Ewa Taracha,,
2166,Guillaume Laurent Thierry,Uniwersytet im. Adama Mickiewicza w Poznaniu,Nie
2167,Magdalena Ewa Tilszer,Uniwersytet Warszawski,Nie
2184,Aleksandra Tokarz,Uniwersytet Jagielloński w Krakowie,Nie
2185,Aleksandra Tokarz,,
2201,Agnieszka Stanisława Trawicka,Akademia Wychowania Fizycznego i Sportu im. Jędrzeja Śniadeckiego w Gdańsku,Nie
2202,Agnieszka Stanisława Trawicka,,
2203,Agnieszka Stanisława Trawicka,,
2220,Natalia Trzeszczyńska,Uniwersytet Medyczny im. Karola Marcinkowskiego w Poznaniu,Nie
2221,Agnieszka Ewa Trzewicarz,Wyższa Szkoła Humanitas w Sosnowcu,Nie dotyczy
2247,Roksana Ulatowska,Wyższa Szkoła Europejska im. Ks. Józefa Tischnera w Krakowie,Nie dotyczy
2248,Roksana Ulatowska,Uniwersytet Jagielloński w Krakowie,Nie
2255,Aleksandra Uściłko,Uniwersytet Warszawski,Nie
2272,Anna Wasik,Uniwersytet Jagielloński w Krakowie,Nie
2273,Anna Wasik,,
2297,Kinga Wierzba,Uniwersytet Jagielloński w Krakowie,Nie
2317,Karol Wiśniewski,Państwowa Wyższa Szkoła Zawodowa w Nowym Sączu,Nie
2319,Magdalena Witkowska,SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie,Nie dotyczy
2320,Magdalena Witkowska,,
2325,Grzegorz Witkowski,Uczelnia Łazarskiego w Warszawie,Nie dotyczy
2326,Grzegorz Witkowski,Instytut Psychiatrii i Neurologii,Nie
2345,BARTOSZ WOJCIECHOWSKI,Uniwersytet Szczeciński,Nie
2349,Iwona Wojtak,Uniwersytet Jagielloński w Krakowie,Nie
2429,Alicja Diana Zakrzewska-Sito,Instytut Psychiatrii i Neurologii,Nie
2446,Ewa Barbara Zawadzka,Uniwersytet Marii Curie-Skłodowskiej w Lublinie,Nie
2483,Julian Zygmunt Zubek,Uniwersytet Warszawski,Nie
2502,Aleksandra Żyrkowska,Uniwersytet Jagielloński w Krakowie,Nie dotyczy
