,fullname,uni_name
1915,Aneta Katarzyna Słowik,Dolnośląska_Szkoła_Wyższa_z_siedzibą_we_Wrocławiu
1929,Jagna Sobierajewicz,Wyższa_Szkoła_Bezpieczeństwa_w_Poznaniu
1936,Izabela Maria Solarczyk,Wyższa_Szkoła_Finansów_i_Zarządzania_w_Białymstoku
1939,Paulina Joanna Soliwoda,Wyższa_Szkoła_Menedżerska_w_Warszawie
1948,Irena Sorokosz,Akademia_Nauk_Stosowanych_w_Elblągu
1958,Agnieszka Maria Springer,Wyższa_Szkoła_Bankowa_w_Poznaniu
1959,Ryszard Stach,Wyższa_Szkoła_Europejska_Ks._Józefa_Tischnera_w_Krakowie
1961,Ryszard Stachowski,Akademia_Ekonomiczno-Humanistyczna_w_Warszawie
1964,Katarzyna Joanna Staniewska,Uniwersytet_Warmińsko-Mazurski_w_Olsztynie
1966,Jan Stanik,Wyższa_Szkoła_Zarządzania_Ochroną_Pracy_w_Katowicach
1968,Ewa Stanisławiak,Akademia_Ekonomiczno-Humanistyczna_w_Warszawie
1970,Maia Stanisławska-Kubiak,Uniwersytet_Medyczny_Karola_Marcinkowskiego_w_Poznaniu
1974,Małgorzata Anna Stańczak,Uniwersytet_Warmińsko-Mazurski_w_Olsztynie
1996,Bogusław Stelcer,Uniwersytet_Przyrodniczy_w_Poznaniu
1998,Marcin Stencel,Wyższa_Szkoła_Ekonomii_i_Innowacji_w_Lublinie
1999,Agnieszka Anna Stetkiewicz-Lewandowicz,Uniwersytet_Medyczny_w_Łodzi
2006,Małgorzata Stolarska,Wyższa_Szkoła_Europejska_Ks._Józefa_Tischnera_w_Krakowie
2009,Jagoda Stompór-Świderska,Uniwersytet_Papieski_Jana_Pawła_II_w_Krakowie
2025,Wojciech Grzegorz Styk,Wyższa_Szkoła_Menedżerska_w_Warszawie
2030,Anna Maria Suchańska,Wyższa_Szkoła_Bankowa_w_Poznaniu
2037,Monika Surawska,Akademia_Nauk_Stosowanych_w_Łomży
2044,Agata Szabała,Państwowa_Wyższa_Szkoła_Zawodowa_w_Chełmie
2045,Izabela Marianna Szafarczyk,Uczelnia_Nauk_Społecznych
2050,Jan Szałański,Akademia_Nauk_Stosowanych_Gospodarki_Krajowej_w_Kutnie
2061,Alicja Szczygieł,Uniwersytet_Ekonomiczny_w_Krakowie
2066,Jarosław Wojciech Szczygieł,Wyższa_Szkoła_Humanitas_w_Sosnowcu
2067,Aleksandra Agnieszka Szczygieł,Państwowa_Uczelnia_Stefana_Batorego
2079,Agnieszka Szołtek,Wyższa_Szkoła_Policji_w_Szczytnie
2081,Alicja Elżbieta Szostkiewicz,Wyższa_Szkoła_Bankowa__z_siedzibą_w_Gdańsku
2087,Cezary Szpytma,Politechnika_Rzeszowska_Ignacego_Łukasiewicza
2089,Dobrochna Maria Sztajerska,Małopolska_Uczelnia_Państwowa_rotmistrza_Witolda_Pileckiego_w_Oświęcimiu
2116,Patryk Szymański,Akademia_Sztuk_Pięknych_Jana_Matejki_w_Krakowie
2121,Magdalena Ewa Ścigała,Uczelnia_Techniczno-Handlowa_Heleny_Chodkowskiej
2131,Katarzyna Śliwińska,Uniwersytet_Mikołaja_Kopernika_w_Toruniu
2143,Ewa Świerczek,Państwowa_Wyższa_Szkoła_Zawodowa_w_Raciborzu
2147,Izabela Taborska ,Staropolska_Akademia_Nauk_Stosowanych_w_Kielcach
2155,Jolanta Ewa Tarapata,Wojskowa_Akademia_Techniczna_Jarosława_Dąbrowskiego
2156,Bartłomiej Michał Tarkowski,Akademia_Muzyczna_Grażyny_i_Kiejstuta_Bacewiczów_w_Łodzi
2159,Andrzej Tarłowski,Akademia_Ekonomiczno-Humanistyczna_w_Warszawie
2161,Adam Tarnowski,Uniwersytet_Mikołaja_Kopernika_w_Toruniu
2183,Krzysztof Tadeusz Tokarski,Wyższa_Szkoła_Bankowa__z_siedzibą_w_Gdańsku
2193,Marzena Maria Tomczak,Akademia_Wychowania_Fizycznego_Eugeniusza_Piaseckiego_w_Poznaniu
2210,Justyna Lilianna Trepka-Starosta,Górnośląska_Wyższa_Szkoła_Handlowa_Wojciecha_Korfantego_w_Katowicach
2211,Maciej Piotr Trojan,Uniwersytet_Mikołaja_Kopernika_w_Toruniu
2214,Elżbieta Trylińska Tekielska,Wyższa_Szkoła_Rehabilitacji_w_Warszawie
2237,Halina Alicja Tumolska,Wyższa_Szkoła_Bezpieczeństwa_w_Poznaniu
2241,Wioletta Kornelia Tuszyńska-Bogucka,Wyższa_Szkoła_Ekonomii_i_Innowacji_w_Lublinie
2245,TADEUSZ TYSZKA,Akademia_Leona_Koźmińskiego_w_Warszawie
2249,Joanna Kamilla Ulatowska,Uniwersytet_Mikołaja_Kopernika_w_Toruniu
2250,Grażyna Iwona Urbanik-Papp,Wyższa_Szkoła_Europejska_Ks._Józefa_Tischnera_w_Krakowie
2258,Małgorzata Walczak,Akademia_Wychowania_Fizycznego_Eugeniusza_Piaseckiego_w_Poznaniu
2259,Radosław Bartosz Walczak,Uniwersytet_Opolski
2268,Zuzanna Wałach-Biśta,Akademia_Wychowania_Fizycznego_Jerzego_Kukuczki_w_Katowicach
2269,Katarzyna Warchoł-Biedermann,Uniwersytet_Medyczny_Karola_Marcinkowskiego_w_Poznaniu
2270,Marcin Warmiński,Uniwersytet_Warmińsko-Mazurski_w_Olsztynie
2275,Barbara Ewa Wawak-Sobierajska,Akademia_Nauk_Stosowanych_Księcia_Mieszka_I_w_Poznaniu
2277,Małgorzata Wąsacz,Uniwersytet_Rzeszowski
2278,Grażyna Zofia Wąsowicz,Akademia_Leona_Koźmińskiego_w_Warszawie
2283,Jacek Wezgraj,Politechnika_Koszalińska
2291,Katarzyna Wiejak,Instytut_Badań_Edukacyjnych
2292,Agnieszka Wielgus,Szkoła_Wyższa_Pawła_Włodkowica_w_Płocku
2294,Joanna Małgorzata Wieprow,Wyższa_Szkoła_Bankowa_we_Wrocławiu
2295,Agnieszka Wieprzycka,Górnośląska_Wyższa_Szkoła_Handlowa_Wojciecha_Korfantego_w_Katowicach
2307,Agnieszka Wilczyńska,Wyższa_Szkoła_Bankowa_w_Toruniu
2314,Magdalena Wiśniewska,Uniwersytet_Medyczny_Karola_Marcinkowskiego_w_Poznaniu
2327,Joanna Dagmara Witowska,Uniwersytet_Przyrodniczo-Humanistyczny_w_Siedlcach
2333,Małgorzata Barbara Wojciechowska,Uniwersytet_Medyczny_Karola_Marcinkowskiego_w_Poznaniu
2340,Krystyna Wojciechowska,Politechnika_Lubelska
2343,Łukasz Wojciechowski,Uniwersytet_Zielonogórski
2350,Bożena Wojtasik,Dolnośląska_Szkoła_Wyższa_z_siedzibą_we_Wrocławiu
2353,Agnieszka Wojtowicz,Akademia_Wychowania_Fizycznego_Bronisława_Czecha_w_Krakowie
2354,Ewa Wojtowicz,Wyższa_Szkoła_Menedżerska_w_Warszawie
2358,Agata Teresa Wolanin,Politechnika_Rzeszowska_Ignacego_Łukasiewicza
2378,Anna Iwona Worsztynowicz,Wyższa_Szkoła_Bankowa__z_siedzibą_w_Gdańsku
2379,Leszek Woszczek,Wyższa_Szkoła_Zarządzania_Ochroną_Pracy_w_Katowicach
2381,Agata Woźniak,Gnieźnieńska_Szkoła_Wyższa_Milenium_z_siedzibą_w_Gnieźnie
2384,Agata Barbara Woźniak-Krakowian,Uniwersytet_Humanistyczno-Przyrodniczy_Jana_Długosza_w_Częstochowie
2388,Rafał  Wojciech Wójciak,Uniwersytet_Medyczny_Karola_Marcinkowskiego_w_Poznaniu
2390,Małgorzata Teresa Wójcik,Karpacka_Państwowa_Uczelnia_w_Krośnie
2392,Adrian Dominik Wójcik,Uniwersytet_Mikołaja_Kopernika_w_Toruniu
2395,Helena Wiesława Wrona-Polańska,Wyższa_Szkoła_Gospodarki_w_Bydgoszczy
2400,Krzysztof Witold Wrześniewski,Akademia_Wychowania_Fizycznego_Bronisława_Czecha_w_Krakowie
2401,Szymon Wrześniowski,Uniwersytet_Papieski_Jana_Pawła_II_w_Krakowie
2403,Grzegorz Wudarzewski,Wyższa_Szkoła_Bankowa_we_Wrocławiu
2409,Kinga Wytrychiewicz,Akademia_Ekonomiczno-Humanistyczna_w_Warszawie
2435,Karolina Joanna Zalewska,Uniwersytet_Przyrodniczy_we_Wrocławiu
2437,Beata Zamorska,Collegium_Da_Vinci_z_siedzibą_w_Poznaniu
2439,Anna Łucja Zarębska,Uczelnia_Nauk_Społecznych
2451,Agnieszka Sylwia Zawadzka-Jabłonowska,Akademia_Leona_Koźmińskiego_w_Warszawie
2456,Przemysław Zdybek,Uniwersytet_Opolski
2457,Krzysztof Zdziarski,Pomorski_Uniwersytet_Medyczny_w_Szczecinie
2460,Piotr Zieliński,Wojskowy_Instytut_Medycyny_Lotniczej
2463,Jerzy Tadeusz Zięba,Uniwersytet_Rzeszowski
2465,Małgorzata Zimny,Pomorski_Uniwersytet_Medyczny_w_Szczecinie
2468,Monika Maria Ziobrowska,Dolnośląska_Szkoła_Wyższa_z_siedzibą_we_Wrocławiu
2477,Artur Ziółkowski ,Staropolska_Akademia_Nauk_Stosowanych_w_Kielcach
2480,Barbara Zmaczyńska-Witek,Uniwersytet_Opolski
2485,Jolanta Zwiernik,Dolnośląska_Szkoła_Wyższa_z_siedzibą_we_Wrocławiu
2487,Adam Alfred Zych,Dolnośląska_Szkoła_Wyższa_z_siedzibą_we_Wrocławiu
